show_id,episode_id,name,url,season,number,type,airdate,airtime,airstamp,runtime
41648,1979824,Chanyeol's Episode 16,https://www.tvmaze.com/episodes/1979824/sim-for-you-4x16-chanyeols-episode-16,4,16.0,regular,2020-12-01,06:00,2020-11-30,16.0
52198,1979222,Серия 2,https://www.tvmaze.com/episodes/1979222/kotiki-1x02-seria-2,1,2.0,regular,2020-12-01,,2020-12-01,12.0
52933,2008027,Лолита,https://www.tvmaze.com/episodes/2008027/lab-s-antonom-belaevym-2x06-lolita,2,6.0,regular,2020-12-01,,2020-12-01,29.0
51336,1964565,Episode 9,https://www.tvmaze.com/episodes/1964565/core-sense-1x09-episode-9,1,9.0,regular,2020-12-01,10:00,2020-12-01,24.0
54033,2052503,Episode 80,https://www.tvmaze.com/episodes/2052503/wu-shen-zhu-zai-1x80-episode-80,1,80.0,regular,2020-12-01,10:00,2020-12-01,8.0
61674,2315116,Episode 5,https://www.tvmaze.com/episodes/2315116/sono-koi-mousukoshi-atatamemasuka-1x05-episode-5,1,5.0,regular,2020-12-01,,2020-12-01,15.0
52038,1973538,Episode 17,https://www.tvmaze.com/episodes/1973538/please-wait-brother-1x17-episode-17,1,17.0,regular,2020-12-01,12:00,2020-12-01,37.0
52038,1973539,Episode 18,https://www.tvmaze.com/episodes/1973539/please-wait-brother-1x18-episode-18,1,18.0,regular,2020-12-01,12:00,2020-12-01,37.0
52373,1984264,Episode 51,https://www.tvmaze.com/episodes/1984264/fearless-whispers-1x51-episode-51,1,51.0,regular,2020-12-01,,2020-12-01,60.0
55016,2082171,第128集,https://www.tvmaze.com/episodes/2082171/ling-jian-zun-4x28-di128ji,4,28.0,regular,2020-12-01,,2020-12-01,10.0
57339,2161414,بازی سوم گروه اول,https://www.tvmaze.com/episodes/2161414/mafia-nights-1x03-bazy-swm-grwh-awl,1,3.0,regular,2020-12-01,08:00,2020-12-01,90.0
47027,1981059,142. Екатерина Варнава,https://www.tvmaze.com/episodes/1981059/vmeste-intervu-3x03-142-ekaterina-varnava,3,3.0,regular,2020-12-01,17:00,2020-12-01,37.0
50752,1939481,Episode 1,https://www.tvmaze.com/episodes/1939481/stjernestov-1x01-episode-1,1,1.0,regular,2020-12-01,06:00,2020-12-01,23.0
51893,1969211,Seilasen,https://www.tvmaze.com/episodes/1969211/exit-nordpolen-1x01-seilasen,1,1.0,regular,2020-12-01,06:00,2020-12-01,30.0
51893,1969212,Ekspedisjonen,https://www.tvmaze.com/episodes/1969212/exit-nordpolen-1x02-ekspedisjonen,1,2.0,regular,2020-12-01,06:00,2020-12-01,39.0
51893,1969213,Exit,https://www.tvmaze.com/episodes/1969213/exit-nordpolen-1x03-exit,1,3.0,regular,2020-12-01,06:00,2020-12-01,39.0
26268,2003089,Мамочки,https://www.tvmaze.com/episodes/2003089/slepaa-10x93-mamocki,10,93.0,regular,2020-12-01,17:35,2020-12-01,25.0
51436,1973845,"Bobby Cole Norris, Ruthie Henshall, Brenda Edwards",https://www.tvmaze.com/episodes/1973845/im-a-celebritythe-daily-drop-1x14-bobby-cole-norris-ruthie-henshall-brenda-edwards,1,14.0,regular,2020-12-01,06:00,2020-12-01,30.0
53198,2018189,"Где мой стафф, сука?!",https://www.tvmaze.com/episodes/2018189/sheker-1x05-gde-moj-staff-suka,1,5.0,regular,2020-12-01,,2020-12-01,20.0
