show_id,name,url,type,language,genres,status,runtime,averageRuntime,premiered,officialSite,schedule_time,schedule_days,weight,webchannnel_id,externals,image,summary
41648,Sim for You,https://www.tvmaze.com/shows/41648/sim-for-you,Reality,Korean,[],Running,16.0,16.0,2019-03-25,https://www.vlive.tv/video/121637,,"['Monday', 'Wednesday', 'Friday']",64,122,"{'tvrage': None, 'thetvdb': 361541, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/190/476668.jpg,Sim for You is a reality series that chronicles each EXO member's life and reveal stories from their everyday life as a series.
52198,Котики,https://www.tvmaze.com/shows/52198/kotiki,Scripted,Russian,['Comedy'],Ended,12.0,12.0,2020-11-30,http://epic-media.ru/project/kotiki,10:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",14,510,"{'tvrage': None, 'thetvdb': 392682, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/355/888089.jpg,
52933,LAB с Антоном Беляевым,https://www.tvmaze.com/shows/52933/lab-s-antonom-belaevym,Documentary,Russian,['Music'],To Be Determined,26.0,25.0,2019-12-17,https://premier.one/show/lab-laboratoriya-muzyki-antona-belyaeva,23:45,['Saturday'],14,381,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/379/948045.jpg,Russian music artists reveal themselves from unexpected sides in the Anton Belyaev's show.
51336,Core Sense,https://www.tvmaze.com/shows/51336/core-sense,Animation,Chinese,"['Action', 'Anime', 'Science-Fiction']",Running,24.0,24.0,2020-10-13,https://www.bilibili.com/bangumi/media/md28223064,10:00,['Tuesday'],40,51,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/278/696645.jpg,"The power of beginnings, the energy of the core stone; one may find it good, one may find it evil. During a normal investigation, Yue Juntian finds himself drawn into the battle between the 'beginnings' of Yun City; Jiang Xin arrives in Yun City to stop Li Zunyuan's plan to take over. The two influence each other - one solves the mystery of their birth, the other redeems themselves. Together, they oppose Li Zunyuan. "
54033,Wu Shen Zhu Zai,https://www.tvmaze.com/shows/54033/wu-shen-zhu-zai,Animation,Chinese,"['Action', 'Adventure', 'Anime', 'Fantasy']",Running,8.0,8.0,2020-03-08,https://v.qq.com/detail/m/7q544xyrava3vxf.html,10:00,"['Tuesday', 'Sunday']",81,104,"{'tvrage': None, 'thetvdb': 379070, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/299/748854.jpg,"The protagonist Qin Chen, who was originally the top genius in the military domain, was conspired by the people to fall into the death canyon in the forbidden land of the mainland. Qin Chen, who was inevitably dead, unexpectedly triggered the power of the mysterious ancient sword.Three hundred years later, in a remote part of the Tianwu mainland, a boy of the same name accidentally inherited Qin Chen's will. As the beloved grandson of King Dingwu of the Daqi National Army, due to the birth father's birth, the mother and son were treated coldly in Dingwu's palace and lived together. In order to rewrite the myth of the strong man in hope of the sun, and to protect everything he loves, Qin Chen resolutely took up the responsibility of maintaining the five kingdoms of the world and set foot on the road of martial arts again."
61674,Sono koi Mousukoshi Atatamemasuka,https://www.tvmaze.com/shows/61674/sono-koi-mousukoshi-atatamemasuka,Scripted,Japanese,['Romance'],Ended,15.0,15.0,2020-10-20,https://www.paravi.jp/static/koisuko,22:00,['Tuesday'],1,342,"{'tvrage': None, 'thetvdb': 419045, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/404/1012331.jpg,"It's spin-off drama of ""Kono Koi Atatamemasu ka"""
52038,"Please Wait, Brother",https://www.tvmaze.com/shows/52038/please-wait-brother,Scripted,Chinese,['Comedy'],Ended,37.0,37.0,2020-11-17,,12:00,"['Tuesday', 'Wednesday', 'Thursday']",20,104,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/284/711240.jpg,
52373,Fearless Whispers,https://www.tvmaze.com/shows/52373/fearless-whispers,Scripted,Chinese,"['Drama', 'Romance', 'History']",Ended,60.0,60.0,2020-11-06,,,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']",14,[],"{'tvrage': None, 'thetvdb': 391554, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/288/721078.jpg,"A story revolving around a fresh graduate who holds an idealistic view of what's right and wrong, yet realizes that the very institution he chose to serve falls heavily onto a gray area caught in the struggles during chaotic times."
55016,Ling Jian Zun,https://www.tvmaze.com/shows/55016/ling-jian-zun,Animation,Chinese,['Anime'],Running,10.0,10.0,2019-01-15,https://v.qq.com/x/cover/2w2legt0g8z26al.html,,"['Tuesday', 'Friday']",58,104,"{'tvrage': None, 'thetvdb': 364730, 'imdb': None}",https://static.tvmaze.com/uploads/images/original_untouched/311/778535.jpg,"The strong man was attacked and returned to his youth. He became the weakest waste young lord. He will never let go of the enemy of the previous life in this life and must make up the regret of the previous life in this life! By the time the Spirit Sword is powerful, the protagonist will be supreme in the three worlds between heaven and earth! If there is someone doesn't obey him, he will kill him with the sword! "
57339,Mafia Nights,https://www.tvmaze.com/shows/57339/mafia-nights,Reality,Persian,[],Running,90.0,90.0,2020-11-17,,08:00,['Sunday'],34,507,"{'tvrage': None, 'thetvdb': 392455, 'imdb': 'tt15127174'}",https://static.tvmaze.com/uploads/images/original_untouched/354/885295.jpg,"Mafia Nights is an Iranian television series in the family, social and enigmatic genres, directed by Saeid Aboutaleb. This series is based on the Mafia game. In each season of this series, one of the film and television actors invites 12 of his friends to play Mafia, and they, together with Mohammad Reza Alimardani, who is called the leader or organizer of the game, make the game completely real without the intervention of the directing team. They do. It started broadcasting on Tuesday, November 18, 2020 on the home theater network and will be distributed weekly on Tuesdays. "
